iter	Logloss
138	0.1775858377
139	0.1774818045
140	0.1773764498
141	0.1772564788
142	0.1769826278
143	0.1768189652
144	0.1766295415
145	0.1765101939
146	0.176420101
147	0.1762916213
148	0.1761249772
149	0.1759896796
150	0.175886008
151	0.1756881737
152	0.1755514421
153	0.1755036187
154	0.1753954064
155	0.1752887455
156	0.1752342582
157	0.1750318286
158	0.1749226899
159	0.1747979638
160	0.1746629438
161	0.1745802908
162	0.1744391756
163	0.1743087314
164	0.1742568066
165	0.1741526233
166	0.1740050634
167	0.1739544929
168	0.1738733072
169	0.1738168088
170	0.1737587678
171	0.1736289861
172	0.1735608513
173	0.173428641
174	0.1733829115
175	0.1733207109
176	0.1732900545
177	0.1731417229
178	0.17308858
179	0.1730548081
180	0.1729749511
181	0.1728802658
182	0.1727915576
183	0.1726975707
184	0.1726102875
185	0.172514301
186	0.1724152964
187	0.1723488766
188	0.1722734583
189	0.1721887651
190	0.1721212862
191	0.1720703435
192	0.1720360364
193	0.1720073249
194	0.171909956
195	0.1718796322
196	0.1718485823
197	0.1718151593
198	0.1717627622
199	0.1716233281
200	0.1715673466
201	0.1715008462
202	0.1714468914
203	0.1713487614
204	0.1712572667
205	0.1711894147
206	0.1711571695
207	0.1711103478
208	0.1710467194
209	0.1709832418
210	0.1708643799
211	0.1708189366
212	0.1707560578
213	0.1707108898
214	0.1706565914
215	0.1705666937
216	0.1705130011
217	0.1704696876
218	0.1704028439
219	0.1703458426
220	0.1702818615
221	0.1702258545
222	0.1701559662
223	0.1700742771
224	0.1700154067
225	0.1699739041
226	0.169923405
227	0.1698910987
228	0.1698580271
229	0.1698186599
230	0.1697469524
231	0.1696923556
232	0.1696631647
233	0.169582358
234	0.1695264978
235	0.1694850999
236	0.1694366432
237	0.1693982124
238	0.1693702038
239	0.1692954818
240	0.1692257144
241	0.1691472869
242	0.1691025635
243	0.1690327801
244	0.1689641627
245	0.1689333966
246	0.1688843532
247	0.1688444696
248	0.1687704677
249	0.1687299569
250	0.1686683843
251	0.1686077813
252	0.1685881708
253	0.1685044931
254	0.1684595129
255	0.1684308781
256	0.1683306896
257	0.1683190425
258	0.1682972738
259	0.1682444584
260	0.168199941
261	0.1681693915
262	0.1681386538
263	0.1681021253
264	0.1680838135
265	0.1680298661
266	0.167994396
267	0.1679469066
268	0.1679074873
269	0.1678745092
270	0.1678500102
271	0.1678166527
272	0.1677226766
273	0.1676709198
274	0.167635201
275	0.1676183449
276	0.1675785158
277	0.1675551993
278	0.1674700347
279	0.1673779518
280	0.1673623123
281	0.167301846
282	0.1672487258
283	0.1672044966
284	0.1671753347
285	0.1671411719
286	0.1670469963
287	0.1670207005
288	0.1669836443
289	0.166946777
290	0.1669397224
291	0.1669032061
292	0.1668541194
293	0.1668038466
294	0.1667797243
295	0.1667383514
296	0.1667157942
297	0.1666869721
298	0.1666248413
299	0.1665797053
300	0.1665564787
301	0.1665410226
302	0.1664882162
303	0.166487527
304	0.1664754829
305	0.1664124446
306	0.1663777877
307	0.1663344949
308	0.1663032639
309	0.1662650801
310	0.1662541949
311	0.1662336085
312	0.1662048392
313	0.1661883254
314	0.1661700592
315	0.1661157775
316	0.1660931402
317	0.1660820811
318	0.1660535988
319	0.1660290128
320	0.1660018913
321	0.1659799132
322	0.1659575854
323	0.1659280846
324	0.1658906011
325	0.1658433427
326	0.1658062249
327	0.1657691946
328	0.1657408842
329	0.1656775025
330	0.1655954857
331	0.1655688572
332	0.1655484997
333	0.165529478
334	0.1655105419
335	0.1654637765
336	0.1654341436
337	0.1654162911
338	0.1653918693
339	0.1652767939
340	0.1652609413
341	0.1652426822
342	0.1651449132
343	0.1651033557
344	0.1650829181
345	0.1650441074
346	0.165027054
347	0.1649802769
348	0.1649473412
349	0.1649411883
350	0.1649234491
351	0.16487374
352	0.1648386523
353	0.1648010712
354	0.1647668928
355	0.1647547787
356	0.1647048969
357	0.1646836075
358	0.1646526183
359	0.1646373432
360	0.1646193168
361	0.1645833869
362	0.1645677435
363	0.1645593298
364	0.1645275309
365	0.164508401
366	0.1644843926
367	0.1644486417
368	0.1644263853
369	0.1644132549
370	0.1643648329
371	0.1643414425
372	0.1642637392
373	0.164237204
374	0.1642035295
375	0.1641683129
376	0.1641184545
377	0.1640785511
378	0.1640508403
379	0.1640276811
380	0.1639618772
381	0.1638940805
382	0.1638711908
383	0.1638525812
384	0.1638454914
385	0.163806916
386	0.163780596
387	0.1637601827
388	0.163706549
389	0.1636432914
390	0.163593458
391	0.1635197472
392	0.1635089648
393	0.1634954147
394	0.1634588322
395	0.1634230958
396	0.1633830193
397	0.16335372
398	0.1633238548
399	0.1633154868
400	0.1632863846
401	0.1632583608
402	0.1632276332
403	0.1631960419
404	0.1631568714
405	0.1631497654
406	0.1631357547
407	0.1630749634
408	0.1630454659
409	0.163006503
410	0.1629722234
411	0.1629033556
412	0.1628772999
413	0.1628709384
414	0.1627887395
415	0.1627231736
416	0.1627007496
417	0.1626671958
418	0.1626347877
419	0.1625940699
420	0.1625559532
421	0.162521312
422	0.1624796739
423	0.1624686862
424	0.1624159237
425	0.1623841799
426	0.1623455438
427	0.1623185732
428	0.1622990219
429	0.1622956071
430	0.1622650692
431	0.1622339237
432	0.162223851
433	0.1621987856
434	0.1621686053
435	0.1621401789
436	0.1621255433
437	0.1620900862
438	0.1620682631
439	0.1620276123
440	0.162018907
441	0.161981455
442	0.1619615154
443	0.1619263579
444	0.1619164361
445	0.1618888644
446	0.1618639546
447	0.1618162232
448	0.1617686224
449	0.1617122769
450	0.1616870122
451	0.1616731201
452	0.1616401537
453	0.1616027956
454	0.1615609899
455	0.1615493073
456	0.1615380601
457	0.1614689613
458	0.1614585114
459	0.161436636
460	0.1613749737
461	0.1612922966
462	0.1612711882
463	0.1612263927
464	0.1612043816
465	0.1611783688
466	0.1611336971
467	0.1610871275
468	0.161052223
469	0.1609958967
470	0.1609610895
471	0.1609035869
472	0.1608754449
473	0.1607840978
474	0.1607471481
475	0.1607235881
476	0.1606955608
477	0.1606422033
478	0.1605929052
479	0.1605705251
480	0.1605254853
481	0.1605088145
482	0.1604662262
483	0.1604441981
484	0.1604088918
485	0.1603897677
486	0.1603572918
487	0.1603162646
488	0.1602721675
489	0.1602295882
490	0.1601864446
491	0.1601603577
492	0.1601126184
493	0.1600900942
494	0.1600622871
495	0.1600406562
496	0.1600365291
497	0.1600021122
498	0.1599589733
499	0.1599088321
500	0.1598697425
501	0.1598173152
502	0.1597399299
503	0.1597059928
504	0.1596789302
505	0.1596395763
506	0.159617506
507	0.1595501927
508	0.1595280351
509	0.159509014
510	0.1594961602
511	0.1594570484
512	0.1593629965
513	0.1593369977
514	0.1592847597
515	0.159255693
516	0.1592171008
517	0.1591566948
518	0.1591301056
519	0.1590605792
520	0.1590182151
521	0.1589816492
522	0.1589481011
523	0.1589307272
524	0.1588975994
525	0.1588218221
526	0.1588028981
527	0.158699806
528	0.1586468663
529	0.158629939
530	0.1585961691
531	0.1585331172
532	0.1585171542
533	0.1584469959
534	0.1583468409
535	0.1583308957
536	0.1583002108
537	0.1582445046
538	0.1581827395
539	0.1581642922
540	0.1581457916
541	0.1580925901
542	0.1580657768
543	0.1580505122
544	0.1580179946
545	0.1579619749
546	0.1579417115
547	0.1578188897
548	0.1577874121
549	0.1577505729
550	0.1577095547
551	0.1576401529
552	0.1575849936
553	0.1575524832
554	0.1575179425
555	0.1574696743
556	0.1573926961
557	0.1573224612
558	0.1573061169
559	0.1572834668
560	0.1572541171
561	0.1572008626
562	0.1571849487
563	0.1571171189
564	0.1570226931
565	0.1570088721
566	0.156956078
567	0.1569379621
568	0.1568984272
569	0.156859808
570	0.1568272844
571	0.1567653759
572	0.1567436036
573	0.1566761454
574	0.1565962718
575	0.1565052763
576	0.1564476517
577	0.1563919588
578	0.1563412976
579	0.1563242446
580	0.1563081093
581	0.1562930393
582	0.1562754895
583	0.1562540324
584	0.1561662737
585	0.1560719855
586	0.1560483306
587	0.1559606214
588	0.1558826548
589	0.155815127
590	0.1557455071
591	0.1556727309
592	0.1556457133
593	0.1556172446
594	0.1555576008
595	0.1555373927
596	0.1555073446
597	0.1554930412
598	0.155443121
599	0.1554081374
600	0.1553583225
601	0.1553446493
602	0.1552929816
603	0.1552773723
604	0.1551930081
605	0.1551169368
606	0.1551039775
607	0.1550679096
608	0.15501326
609	0.1549673831
610	0.1549532475
611	0.1548717767
612	0.154857841
613	0.1547854853
614	0.1547644886
615	0.1547350406
616	0.1547086912
617	0.1546953002
618	0.1546112812
619	0.1545938728
620	0.154524011
621	0.154451577
622	0.1544188308
623	0.1544051234
624	0.1543165378
625	0.1542324597
626	0.1541593951
627	0.1540889779
628	0.1540761598
629	0.1540536788
630	0.1539741988
631	0.1539127444
632	0.1538434221
633	0.1537971498
634	0.15375294
635	0.1536932458
636	0.1536261217
637	0.1536137365
638	0.1535925121
639	0.1535276395
640	0.153513114
641	0.153458702
642	0.1533961831
643	0.1533749807
644	0.1533634432
645	0.1533031435
646	0.153226912
647	0.1532162673
648	0.1531722388
649	0.1531591065
650	0.1531479751
651	0.1531052511
652	0.1530235065
653	0.1529520846
654	0.1529411957
655	0.1528853426
656	0.1528435224
657	0.1528323477
658	0.1528175271
659	0.1527554514
660	0.1527146927
661	0.1526546711
662	0.1526382424
663	0.1525812441
664	0.1525615362
665	0.1524956102
666	0.152484345
667	0.152440616
668	0.152366665
669	0.1523569585
670	0.1523019898
671	0.1522575655
672	0.1521862594
673	0.1521472014
674	0.1520913197
675	0.1520525785
676	0.1519822575
677	0.151966609
678	0.1519013377
679	0.1518324159
680	0.1517797062
681	0.1517174807
682	0.1516814968
683	0.1516247135
684	0.1515876442
685	0.1515245671
686	0.1514884932
687	0.1514470101
688	0.1514374749
689	0.1514023164
690	0.1513663635
691	0.1513316642
692	0.1513177663
693	0.1512686744
694	0.1512335369
695	0.1511992235
696	0.1511443192
697	0.1511104172
698	0.1511011141
699	0.1510667825
700	0.1510234431
701	0.1510143206
702	0.1509636123
703	0.1509130325
704	0.1509047517
705	0.1508713407
706	0.150860863
707	0.1508119828
708	0.1507788479
709	0.1507357004
710	0.1507036321
711	0.1506578092
712	0.15060932
713	0.1505997219
714	0.1505678842
715	0.1505573889
716	0.1505484105
717	0.1505161075
718	0.1504851353
719	0.150476913
720	0.1503521729
721	0.1503225616
722	0.1502929787
723	0.1502137042
724	0.1502047759
725	0.1501759606
726	0.1501667612
727	0.1501557118
728	0.1501022825
729	0.1500677035
730	0.1500357384
731	0.1500271929
732	0.14996805
733	0.1499399514
734	0.1498750413
735	0.1498673104
736	0.149845928
737	0.1498188897
738	0.1497873508
739	0.1497208487
740	0.1496897335
741	0.1496633331
742	0.1496325434
743	0.1496123402
744	0.1495819281
745	0.1495742486
746	0.1495661463
747	0.149522413
748	0.1495130451
749	0.1494877012
750	0.1494796338
751	0.1494549638
752	0.1494249512
753	0.1493051797
754	0.1492412521
755	0.1492172022
756	0.1491985273
757	0.1491412711
758	0.14913265
759	0.1491234927
760	0.1490650363
761	0.1490571886
762	0.1490276224
763	0.1489126029
764	0.1489048889
765	0.1488956427
766	0.1488341745
767	0.1487709599
768	0.1487079279
769	0.1486896314
770	0.1486682933
771	0.1486460298
772	0.1486168478
773	0.1485554926
774	0.1485266495
775	0.1485191446
776	0.1484593891
777	0.1484417752
778	0.1483857218
779	0.1483262278
780	0.1483189867
781	0.1483108131
782	0.1482515559
783	0.1481939052
784	0.1481381054
785	0.1481097335
786	0.1481026319
787	0.1480444999
788	0.1479879761
789	0.1479810663
790	0.1479591065
791	0.1479311549
792	0.1478771509
793	0.1478684771
794	0.1478514991
795	0.147823865
796	0.1477626566
797	0.1477547023
798	0.147699536
799	0.1476459222
800	0.1476247339
801	0.1475708577
802	0.1475437764
803	0.1475280451
804	0.1475195395
805	0.1474928509
806	0.147466441
807	0.1474042483
808	0.1473973248
809	0.1473454693
810	0.1473370614
811	0.1473113486
812	0.1472020846
813	0.1471427399
814	0.1470837108
815	0.1470195557
816	0.1469620293
817	0.1469556167
818	0.1469033471
819	0.146877976
820	0.1468617143
821	0.1468551775
822	0.1468348794
823	0.1467840373
824	0.1467642742
825	0.1467085277
826	0.1467019752
827	0.1466944222
828	0.1466693745
829	0.1466449061
830	0.1465939404
831	0.1465786278
832	0.1465636162
833	0.1465499342
834	0.1464793892
835	0.1464203245
836	0.1463796735
837	0.1463629793
838	0.1463115671
839	0.1462972942
840	0.1462485571
841	0.1462425661
842	0.1461823799
843	0.1461346334
844	0.1461287823
845	0.1460793113
846	0.1460631518
847	0.1460060411
848	0.1459813765
849	0.1459570834
850	0.1459424908
851	0.1459033971
852	0.1458953765
853	0.1458769453
854	0.1458211543
855	0.1458073479
856	0.1457595208
857	0.1457146642
858	0.145700994
859	0.1456543117
860	0.1456363111
861	0.1455908637
862	0.1455753125
863	0.1455621634
864	0.1455384338
865	0.1455327302
866	0.1454985152
867	0.1454810036
868	0.1453975338
869	0.1453919792
870	0.1453210995
871	0.1452502756
872	0.1451848526
873	0.145135211
874	0.1451224688
875	0.1450991873
876	0.1450921298
877	0.1450460399
878	0.1450334769
879	0.1449799708
880	0.1449569748
881	0.1448929668
882	0.1448795406
883	0.1448671427
884	0.1447988355
885	0.1447434555
886	0.1447013708
887	0.1446787459
888	0.1446411422
889	0.1445752825
890	0.1445228148
891	0.1444567462
892	0.1444032614
893	0.1443622342
894	0.1443500362
895	0.144338051
896	0.1442747859
897	0.1442693561
898	0.1442250703
899	0.1442029177
900	0.1441910894
901	0.1441271896
902	0.1440958449
903	0.1440740222
904	0.1440671346
905	0.144015296
906	0.1439649034
907	0.143959676
908	0.1439197641
909	0.1438738299
910	0.1438301341
911	0.1438185246
912	0.1437920914
913	0.1437806135
914	0.143743862
915	0.1437371868
916	0.143691152
917	0.1436798762
918	0.1436688936
919	0.1436395382
920	0.1436228285
921	0.1436162721
922	0.1435949492
923	0.1435840587
924	0.1435219708
925	0.143461206
926	0.1434304527
927	0.1434094672
928	0.1433995485
929	0.1433478639
930	0.1433374226
931	0.1433272297
932	0.143285026
933	0.1432428595
934	0.1432009001
935	0.1431702218
936	0.1431652042
937	0.1431013896
938	0.1430423602
939	0.1430359914
940	0.142987939
941	0.142981761
942	0.1429425299
943	0.142932355
944	0.1429230384
945	0.1428652305
946	0.1428273682
947	0.1427701065
948	0.1427537673
949	0.1427440037
950	0.1427038697
951	0.1426942856
952	0.1426613237
953	0.1426175069
954	0.1425772294
955	0.1425451711
956	0.142535804
957	0.1424867582
958	0.142478071
959	0.1424719736
960	0.1424516516
961	0.1424456233
962	0.1424067282
963	0.1423976443
964	0.142358144
965	0.1423452651
966	0.1423114583
967	0.1422831992
968	0.1422744142
969	0.142245149
970	0.1421888366
971	0.1421367554
972	0.1421065042
973	0.1421005511
974	0.1420520007
975	0.1420226421
976	0.1420169567
977	0.1420010888
978	0.141992436
979	0.1419269907
980	0.1419184871
981	0.1418598636
982	0.1418054736
983	0.1417592498
984	0.1417545385
985	0.1417122014
986	0.1416725067
987	0.1416201248
988	0.1415824964
989	0.141528668
990	0.1414782095
991	0.1414512293
992	0.1414112561
993	0.1413863151
994	0.1413780425
995	0.1413401624
996	0.1413023328
997	0.1412967698
998	0.1412887493
999	0.1412501464
